A	B	C
300	521903.56795	788949.54786
301	273650.01047	484477.51977
302	144695.34497	267422.86566
303	86128.25691	150572.2522
304	74712.23386	84902.22248
305	78327.12543	69581.76567
306	84018.89334	73357.66647
307	91565.17938	80834.99459
308	99420.5548	85183.19748
309	107300.85176	92007.47274
310	118549.43244	101578.16013
311	126189.30255	106455.37581
312	135445.19336	115815.49002
313	144491.36745	127414.73752
314	156664.47601	137714.47634
315	167058.8063	145563.30274
316	177038.44335	155276.73253
317	186836.11468	169264.19447
318	199562.57176	177980.4971
319	213000.26478	190683.32095
320	227012.39835	206734.03769
321	242031.3002	224813.49233
322	262493.79038	243013.48715
323	282102.24214	266091.10907
324	306986.64547	285191.4606
325	323866.47965	304263.07442
326	344374.10338	322416.7398
327	356535.76417	340754.22054
328	366135.04093	350940.49123
329	368137.12553	357648.04192
330	360106.7889	357655.35453
331	352373.14743	350111.38837
332	345319.67682	347527.22402
333	338094.28215	336750.81148
334	328918.90604	330843.30631
335	325752.35386	329296.50337
336	321355.40679	326566.18337
337	317854.17467	317587.70893
338	319111.6623	319154.04952
339	322335.863	321828.26873
340	317688.54431	318666.71066
341	314020.96923	316986.40014
342	313366.66108	313295.81947
343	307681.05728	311009.49713
344	313844.40247	314195.99805
345	307835.97807	308953.99071
346	303520.1008	305435.06672
347	294014.20792	302017.43949
348	295514.47833	295372.51538
349	293802.28006	295569.03486
350	285431.33937	290897.39878
351	281526.71891	285978.31526
352	279641.71534	284599.2819
353	272879.60197	277691.32471
354	269201.51744	274208.84617
355	259839.1262	264828.88338
356	254660.55058	261269.57062
357	250643.5642	255724.89911
358	240606.53702	250547.29338
359	238993.10008	245300.94797
360	232156.85565	237948.11337
361	224476.70632	231362.73285
362	220370.8974	227637.67455
363	213133.49239	220906.48584
364	205839.04399	210701.02092
365	200835.39712	207406.57351
366	195516.73122	201528.16252
367	187123.06867	193787.3071
368	181476.66272	189322.87297
369	179392.9235	183771.99272
370	167241.46943	174040.87131
371	164375.45374	171429.56832
372	158807.51914	166792.61046
373	150871.75206	156945.46671
374	144840.73761	152841.44044
375	142602.21413	148397.92511
376	136929.19909	142483.15731
377	130939.21621	135130.9508
378	128853.9294	130445.34293
379	124842.17051	125914.23189
380	116642.29743	118379.52364
381	110973.12192	116694.57472
382	110989.43849	113040.28738
383	104085.30034	107767.41912
384	98211.69651	102091.99443
385	97225.35502	100270.99939
386	93525.25434	95120.72368
387	87899.53937	88857.86803
388	85570.41721	86266.81138
389	82367.84096	85963.76746
390	78950.98745	80713.74249
391	75372.63944	78380.96071
392	72434.11573	75031.30294
393	70608.92393	70168.27347
394	66644.02835	69047.38454
395	64243.87838	65930.13941
396	62332.23644	63068.61137
397	59458.3719	59389.83363
398	57370.19648	57236.11338
399	53394.40472	56283.25547
400	51302.96429	53329.37326
401	48900.32943	50837.58361
402	48452.0549	48962.20119
403	46671.54159	45341.46352
404	44730.54955	46033.80709
405	43104.58047	43901.27911
406	40466.46479	41481.85305
407	39798.20836	39775.71619
408	36756.05157	39548.4566
409	35810.03667	35375.10151
410	33647.87416	35706.14304
411	33225.00094	33326.68202
412	31594.32717	33351.05732
413	31508.7049	31553.71486
414	29971.30494	30399.56812
415	28738.68535	30358.26328
416	27708.11221	28070.69397
417	26225.33272	28477.13128
418	25527.31836	26446.50933
419	25679.03464	26724.22864
420	25507.01973	24491.24562
421	22588.78184	23579.25432
422	21592.44698	22363.57887
423	22280.65708	22852.70682
424	20217.56448	21870.79757
425	19799.68089	21314.91719
426	19970.33296	20350.89453
427	19129.69945	19911.60764
428	19105.7832	19399.00251
429	18275.78269	18520.93509
430	17640.96298	18112.17136
431	16628.58861	17735.94539
432	16491.07889	16925.43396
433	16422.13882	16952.04961
434	15139.5957	16027.87632
435	14656.74363	15975.35819
436	15359.43378	15751.3744
437	14915.13768	14105.10779
438	14435.65291	14732.46232
439	14414.03432	14381.17784
440	13298.57968	13526.33269
441	13028.54579	12954.62946
442	13332.01333	12788.66525
443	12347.27744	12614.8523
444	12194.22654	12257.40516
445	12127.48794	12043.33147
446	11962.80946	12201.533
447	11973.29903	11866.93328
448	11730.32067	11240.04108
449	11136.7916	11343.63888
450	11761.31621	11185.7926
