A	B	C
300	1.44745E6	1.97887E6
301	789482.82783	1.20304E6
302	391770.92303	645906.96318
303	233514.18846	339978.41548
304	197180.718	204931.37529
305	199143.79187	168602.37615
306	213140.56285	170595.21798
307	228544.71045	180405.57355
308	244339.17928	197231.13202
309	265978.10493	211129.41625
310	283071.39883	231366.81779
311	310671.97146	251009.20446
312	328580.78968	269802.76355
313	351774.69498	288929.10072
314	376452.78225	313251.12738
315	399495.9421	335893.947
316	417351.75371	355003.04182
317	450268.36332	383034.96196
318	479325.55697	409833.15459
319	488773.24299	422501.12502
320	529941.71886	458535.72837
321	562631.59931	500216.9047
322	589120.6874	520675.72761
323	623050.64355	551888.54129
324	670986.99009	597203.11643
325	692942.72462	621646.14602
326	713126.82576	651010.08194
327	740040.76645	678058.71674
328	761321.1308	705337.39496
329	768690.69346	716382.81849
330	778029.32537	723287.49644
331	783779.98795	739254.61237
332	764203.30553	728082.59191
333	759968.62677	729854.70538
334	759992.31109	731647.84128
335	765855.30683	726214.81176
336	755582.63574	719284.05114
337	760874.71424	720563.98672
338	754736.37383	724817.43897
339	748878.00943	715412.67242
340	752873.09285	726062.27928
341	748952.28217	720165.16108
342	747531.76757	713004.3358
343	740729.15516	712665.53525
344	733550.18364	706449.038
345	725159.43639	706354.02842
346	716417.04547	697253.82112
347	706604.07485	686744.33086
348	697184.498	680457.37458
349	692661.48974	672349.87161
350	680820.45862	656269.51662
351	666100.10527	648976.47398
352	660594.41516	644849.93127
353	639446.22951	634447.66075
354	624010.87656	612406.49381
355	620793.50233	610013.17703
356	604275.95838	591848.44552
357	590185.44603	575343.71893
358	572728.58882	570741.40802
359	562712.27623	559732.29728
360	542135.35051	538146.22753
361	524092.32394	521368.40312
362	519861.8292	514248.22631
363	495386.01249	497168.93272
364	480562.7669	479388.18839
365	472901.78414	473531.50639
366	457627.81122	455312.89712
367	439439.59875	441877.35119
368	428813.99231	430202.95511
369	415603.26534	410324.36753
370	394509.25625	393283.28528
371	382079.47765	382388.37585
372	374762.35969	376158.74794
373	352629.01515	356678.89868
374	338848.74253	340316.60273
375	336626.32137	335099.37385
376	322610.04256	320576.01706
377	300775.87065	301829.22632
378	295352.14935	294450.81598
379	284667.24004	280538.32279
380	269034.1644	268580.59521
381	261367.54663	259679.44601
382	250494.92258	249456.87659
383	237882.42479	236306.09247
384	228214.41387	228099.63639
385	220051.65174	215783.49601
386	207222.25687	208630.52218
387	201505.87452	199401.92846
388	192029.19367	192678.68829
389	185196.1311	184899.5449
390	178243.16839	176519.15351
391	171359.37174	168776.34249
392	165892.50923	161961.70815
393	157824.70721	156049.56576
394	149964.4255	150226.21195
395	145992.47295	143716.77723
396	135850.89373	135769.65955
397	129950.4862	131019.78523
398	127934.12034	126328.54273
399	120860.69488	119113.79303
400	115877.28044	112805.21234
401	108199.91074	107308.74321
402	107185.00017	106600.89314
403	100977.13682	101261.21031
404	92762.11863	96178.9937
405	94499.47868	92012.67704
406	87403.24928	88575.62551
407	84822.17785	83432.70609
408	81371.6501	81197.84723
409	78863.25314	77820.64993
410	75306.12208	74179.77761
411	72253.99599	71798.09294
412	70273.34541	70031.75493
413	64668.18906	67142.32005
414	62796.72879	63134.24306
415	61223.77103	63589.71294
416	59602.40483	60821.94352
417	55221.35104	57485.26133
418	54669.5938	55053.44094
419	52514.12197	53367.067
420	47477.95939	49918.70427
421	48383.51551	49134.33446
422	46390.09485	49398.84431
423	43439.47121	45117.02466
424	42087.5304	45187.68579
425	41629.45231	43143.07204
426	38490.2902	42375.32791
427	37830.61225	39320.72595
428	38414.36896	39147.83235
429	36041.71211	36841.78642
430	35466.71184	35598.25365
431	33031.75384	34848.71098
432	32201.46517	33981.62333
433	31453.37816	32089.03281
434	30503.8528	31202.84169
435	29570.88319	30667.03886
436	28357.74108	29498.89943
437	26878.85043	27139.41779
438	27191.37041	28427.3227
439	25386.33922	27828.26281
440	26007.26006	25551.63834
441	25052.33835	26354.91162
442	24886.67748	24945.1751
443	23263.155	24763.1001
444	23486.72112	23218.41688
445	22990.1834	22804.12506
446	21965.04645	22764.12549
447	21090.54312	22501.61348
448	20059.4306	20947.71984
449	20826.76106	21459.71169
450	20249.66158	19296.01212
